月份,HK_Turnover_HKD,US_Turnover_USD,US_Turnover_HKD,Global_Turnover_HKD,HK_Ratio,公司
2025-04,2214773732.4308586,1773650600.7327652,13799001673.700914,16013775406.131773,13.830428342230952,华住
2025-05,1155381626.4555264,1390163157.4397073,10815469364.880922,11970850991.336449,9.651624828441184,华住
2025-06,754370144.6147766,879597491.1987424,6843268481.526216,7597638626.140992,9.929007968597446,华住
2025-07,1417428615.5264072,1188058272.1205058,9243093357.097536,10660521972.623943,13.296052662021074,华住
2025-08,1321172380.518921,1781388628.1723297,13859203527.180725,15180375907.699646,8.703159846317169,华住
2025-09,1412749617.5459404,1695819710.0458744,13193477344.156902,14606226961.702843,9.67224199137898,华住
2025-10,851075235.112772,1124346017.0466058,8747412012.622593,9598487247.735365,8.866764242600539,华住
2025-11,1287102639.024006,1798872805.217073,13995230424.588829,15282333063.612835,8.422160632584244,华住
2025-12,936326542.2865868,1225786598.227492,9536619734.209888,10472946276.496475,8.94043106463654,华住
2026-01,1577232975.114338,1391636650.450722,10826933140.506617,12404166115.620955,12.715348701498597,华住
2026-02,1424179402.2255974,1944302328.9680982,15126672119.371803,16550851521.5974,8.604870875478333,华住
2026-03,2314522663.388527,1920492101.5732648,14941428550.240002,17255951213.62853,13.412895265724597,华住
2026-04,2057738593.0769424,2100740091.4061897,16343757911.140156,18401496504.2171,11.182452430460573,华住
2026-05,2141041885.7410316,1889139545.0286024,14697505660.322527,16838547546.063559,12.715122132024712,华住
2026-06,1695163104.843277,2352146329.395294,18299698442.69539,19994861547.538666,8.47799371259937,华住
2026-07,1769864013.4548683,1372272188.2888794,10676277624.887482,12446141638.34235,14.22018216474828,华住
2026-08,1757799279.3862915,1548408846.2137222,12046620823.542759,13804420102.92905,12.7335974005407,华住
2026-09,84680028.54350281,75735733.04559517,589224003.0947304,673904031.6382332,12.565591622541433,华住
2025-01,21086356957.100937,2579551550.6263175,20068911063.87275,41155268020.97369,51.236106508539415,网易
2025-02,28706247694.935364,2608909029.3882885,20297312248.640884,49003559943.57625,58.5799230259768,网易
2025-03,20493314109.236694,2784015572.899322,21659641157.156727,42152955266.39342,48.61655364309666,网易
2025-04,22691022607.215424,4012012208.7476254,31213454984.056526,53904477591.27195,42.09487527041628,网易
2025-05,29138126716.637802,2864981447.8718023,22289555664.442623,51427682381.08043,56.65844807223384,网易
2025-06,35997252026.15143,2354752202.1016307,18319972132.35069,54317224158.50212,66.27226001297211,网易
2025-07,23483953000.00592,1747598619.4755201,13596317259.519547,37080270259.52547,63.332744976348124,网易
2025-08,23834413763.846146,2420159375.6195536,18828839942.320126,42663253706.166275,55.866376080925285,网易
2025-09,33219099966.27234,2049203344.0954278,15942802017.062428,49161901983.33476,67.57081932577216,网易
2025-10,28000702983.899445,2141480272.0675979,16660716516.685911,44661419500.58536,62.69550609230513,网易
2025-11,22052801179.249207,2079732160.6330693,16180316209.725279,38233117388.97449,57.679840633682424,网易
2025-12,21622359189.57318,1471704739.65489,11449862874.515045,33072222064.088226,65.37921506354427,网易
2026-01,26761493397.917633,1802451390.6958253,14023071819.613522,40784565217.53116,65.61671861691016,网易
2026-02,28908767149.83075,2117534233.6009064,16474416337.415052,45383183487.245804,63.69929328107863,网易
2026-03,26974062449.689026,2296756357.449352,17868764460.95596,44842826910.64499,60.152457612536914,网易
2026-04,18134356263.689514,1557500047.3896205,12117350368.691248,30251706632.38076,59.94490322168766,网易
2026-05,27438014293.681732,2641070124.6733003,20547525569.958275,47985539863.64001,57.1797553422386,网易
2026-06,32547346325.10579,2509105973.8402367,19520844476.477043,52068190801.58283,62.50907862179144,网易
2026-07,50759181210.93289,2711293869.190216,21093866302.29988,71853047513.23277,70.64304572688425,网易
2026-08,26889922921.906845,2108023208.6120605,16400420563.001831,43290343484.908676,62.11529121103154,网易
2026-09,1835419780.7822418,74033333.39167786,575979333.7872537,2411399114.5694957,76.1143093108383,网易
2025-01,9747064291.338661,6389022960.037231,49706598629.08966,59453662920.42832,16.394388188300443,百度
2025-02,37026275984.59228,12217513680.52826,95052256434.50986,132078532419.10214,28.033530738442145,百度
2025-03,29641029137.177795,11204178370.157623,87168507719.82631,116809536857.0041,25.375521498269226,百度
2025-04,20727410535.837708,8235236495.801544,64070139937.33601,84797550473.17372,24.443407174119923,百度
2025-05,18552596635.43965,6870059352.576447,53449061763.044754,72001658398.4844,25.766901829903095,百度
2025-06,16247476640.310448,3815023114.822769,29680879833.321144,45928356473.63159,35.37569790819416,百度
2025-07,21659501273.818314,8361577818.881989,65053075430.90187,86712576704.72018,24.978500347850098,百度
2025-08,16730230520.670624,8139800651.647949,63327649069.821045,80057879590.49167,20.897668794437624,百度
2025-09,80376051597.57498,20421084272.05658,158876035636.6002,239252087234.17517,33.5947128097171,百度
2025-10,42323050133.82518,13285208199.259949,103358919790.2424,145681969924.06757,29.0516734197683,百度
2025-11,34493919494.37195,8878524371.030807,69074919606.61969,103568839100.99164,33.30530668663417,百度
2025-12,30307118875.566772,6707389830.057907,52183492877.85052,82490611753.4173,36.74008257589538,百度
2026-01,50435179890.8573,11882994597.62268,92449697969.50446,142884877860.36176,35.29777303665857,百度
2026-02,30787584557.212967,6394694221.626282,49750721044.25247,80538305601.46544,38.22725636861768,百度
2026-03,26814190702.059868,5681293404.4487,44200462686.610886,71014653388.67075,37.75867292529466,百度
2026-04,24289563625.7407,4889150659.635925,38037592131.9675,62327155757.7082,38.97107662054149,百度
2026-05,38442747889.31377,8233606656.030655,64057459783.918495,102500207673.23227,37.50504390378227,百度
2026-06,31299788746.320045,5848529573.246384,45501560079.856865,76801348826.17691,40.75421750360177,百度
2026-07,26145363803.463226,5531516751.317215,43035200325.24793,69180564128.71115,37.79293235426573,百度
2026-08,24431705015.6539,6432630257.413483,50045863402.676895,74477568418.3308,32.80411207630222,百度
2026-09,2088811908.8231583,205679359.50793457,1600185416.971731,3688997325.7948895,56.622754758247765,百度
